Date,Location,Location Level,Total Cases,Total Deaths,Total Recovered,New Cases,New Deaths,New Recovered,Province,Time Zone,Population,Longitude,Latitude,Case Fatality Rate,Case Recovered Rate
3/31/2020,Kalimantan Selatan,Province,7,0,0,2,0,0,Kalimantan Selatan,UTC+08:00,4023049,115.4385783,-2.993594979,0.00%,0.00%
3/31/2020,Kalimantan Tengah,Province,7,2,41,4,0,2,Kalimantan Tengah,UTC+07:00,2570289,113.4176536,-1.602484653,28.57%,585.71%
3/31/2020,Kalimantan Timur,Province,16,1,3,3,1,0,Kalimantan Timur,UTC+08:00,3552191,116.4684405,0.45385803,6.25%,18.75%
3/31/2020,Kalimantan Utara,Province,2,0,0,0,0,0,Kalimantan Utara,UTC+08:00,648407,116.2188791,2.891012621,0.00%,0.00%
3/31/2020,Kepulauan Bangka Belitung,Province,2,1,0,1,1,0,Kepulauan Bangka Belitung,UTC+07:00,1379767,106.5499324,-2.447444127,50.00%,0.00%
3/31/2020,Kepulauan Riau,Province,5,3,2,1,0,0,Kepulauan Riau,UTC+07:00,1929400,108.261746,3.916346,60.00%,40.00%
3/31/2020,Lampung,Province,7,2,0,0,1,0,Lampung,UTC+07:00,9095591,105.0214366,-4.916792975,28.57%,0.00%
3/31/2020,Maluku,Province,1,1,1,0,0,0,Maluku,UTC+09:00,1847097,129.576792,-3.192572,100.00%,100.00%
3/31/2020,Maluku Utara,Province,1,0,0,0,0,0,Maluku Utara,UTC+09:00,1307803,127.5391072,0.212036949,0.00%,0.00%
3/31/2020,Nusa Tenggara Barat,Province,2,0,0,2,0,0,Nusa Tenggara Barat,UTC+08:00,5270247,117.5086257,-8.606998866,0.00%,0.00%
3/31/2020,Papua,Province,9,1,3,1,0,1,Papua,UTC+09:00,4340348,138.69603,-4.66620953,11.11%,33.33%
3/31/2020,Papua Barat,Province,2,1,1,0,0,0,Papua Barat,UTC+09:00,1140701,132.9762624,-2.045160182,50.00%,50.00%
3/31/2020,Riau,Province,3,0,1,0,0,0,Riau,UTC+07:00,6074100,101.8051092,0.511647851,0.00%,33.33%
